text,label
"Développeur fullstack avec expérience en React, Node.js et Python. Compétences en développement web, API REST, base de données SQL.",Développeur Application/Fullstack
"Développeur fullstack expérimenté en JavaScript, TypeScript, Node.js. Développement d'applications web modernes avec React et Express.",Développeur Application/Fullstack
"Fullstack developer maîtrisant MERN stack (MongoDB, Express, React, Node.js). Création d'applications web complètes et scalables.",Développeur Application/Fullstack
"Ingénieur fullstack avec expertise en Python Django, React, PostgreSQL. Développement d'applications web robustes et maintenables.",Développeur Application/Fullstack
"Développeur fullstack PHP, Laravel, Vue.js, MySQL. Développement d'applications web complètes et performantes.",Développeur Application/Fullstack
"Fullstack engineer Java Spring Boot, Angular, microservices. Architecture web complète frontend et backend.",Développeur Application/Fullstack
"Data scientist spécialisé en machine learning, Python, TensorFlow. Analyse de données, modèles prédictifs, statistiques.",Data Scientist
"Data scientist expérimenté en Python, scikit-learn, deep learning. Traitement de données massives et modélisation prédictive.",Data Scientist
"Spécialiste data science avec maîtrise de R, Python, statistiques. Analyse prédictive et machine learning pour la business intelligence.",Data Scientist
"Data scientist senior en big data, Spark, Hadoop, Python. Développement de modèles d'IA et analyse de données complexes.",Data Scientist
"Data scientist NLP, traitement du langage naturel, BERT, transformers. Analyse de textes et apprentissage automatique.",Data Scientist
"Expert machine learning computer vision, CNN, deep learning, PyTorch. Reconnaissance d'images et vision artificielle.",Data Scientist
"Chef de projet IT avec 5 ans d'expérience en gestion d'équipes, Agile, Scrum. Coordination de projets informatiques.",Chef de Projet IT
"Chef de projet informatique expérimenté en gestion Agile, management d'équipes techniques. Coordination et livraison de projets IT.",Chef de Projet IT
"Project manager IT avec certification PMP, expérience en waterfall et agile. Gestion budgétaire et planning de projets technologiques.",Chef de Projet IT
"Chef de projet digital Scrum Master, Kanban, gestion d'équipes agiles. Livraison de projets web et mobile.",Chef de Projet IT
"Program manager IT, gestion multi-projets, transformation digitale. Coordination d'équipes et parties prenantes.",Chef de Projet IT
"Administrateur réseau, sécurité informatique, firewall, VPN. Gestion infrastructure réseau et cybersécurité.",Réseaux & Sécurité
"Administrateur système et réseau, sécurité informatique, pare-feu, VPN. Gestion infrastructure IT et protection des données.",Réseaux & Sécurité
